datetime,zone1,zone2,zone3,zone4
2020-12-17 22:50:43,0,0,0,4
2020-12-17 22:33:55,0,0,0,5
2020-12-17 22:52:11,0,0,0,5
2020-12-17 22:53:39,0,0,0,5
2020-12-17 22:55:10,0,2,0,4
2020-12-17 22:56:42,0,0,0,4
2020-12-17 22:58:13,0,0,0,5
2020-12-17 22:59:46,0,0,0,5
2020-12-17 23:01:16,0,0,0,5
2020-12-17 23:02:49,0,0,0,5
2020-12-17 23:04:18,0,0,0,5
2020-12-17 23:05:46,2,0,0,5
2020-12-17 23:07:18,0,0,0,4
2020-12-17 23:08:48,0,0,0,2
2020-12-17 23:10:19,0,2,0,2
2020-12-17 23:11:49,0,0,0,4
2020-12-17 23:13:18,2,2,0,4
2020-12-17 23:14:49,2,0,0,6
2020-12-17 23:16:21,0,0,0,4
2020-12-17 23:17:55,0,0,0,4
2020-12-17 23:19:25,0,0,0,4
2020-12-17 23:20:54,0,0,0,4
2020-12-17 23:22:24,0,0,0,4
2020-12-17 23:39:37,0,0,0,4
2020-12-17 23:41:09,0,0,0,4
2020-12-17 23:42:40,0,0,0,4
2020-12-17 23:26:57,0,0,0,4
2020-12-17 23:44:08,0,0,0,4
2020-12-17 23:47:11,0,0,0,4
2020-12-17 23:53:12,0,0,0,4
2020-12-17 23:54:44,0,0,0,4
2020-12-17 23:56:33,0,0,0,4
2020-12-17 23:58:05,0,0,0,4
2020-12-17 23:59:33,0,0,0,2
2020-12-18 00:01:03,0,0,0,2
2020-12-18 00:02:33,0,0,0,2
2020-12-18 00:04:04,2,0,0,2
2020-12-18 00:07:05,2,0,0,2
2020-12-18 00:17:10,0,2,0,2
2020-12-18 00:19:17,0,2,0,2
2020-12-18 00:24:41,2,0,0,4
2020-12-18 12:59:12,2,0,0,4
2020-12-18 13:01:12,0,0,0,4
2020-12-18 13:03:00,0,0,0,2
2020-12-18 13:04:30,2,0,0,4
2020-12-18 13:06:03,0,0,0,8
2020-12-18 13:08:19,2,2,0,9
2020-12-18 13:10:33,0,2,0,3
2020-12-18 13:12:13,3,0,0,3
2020-12-18 13:14:08,2,0,0,2
2020-12-18 13:15:51,0,0,0,4
2020-12-18 13:17:24,0,0,0,3
2020-12-18 13:19:05,0,2,0,5
2020-12-18 13:20:41,0,2,0,5
2020-12-18 13:22:13,0,0,0,3
2020-12-18 13:23:52,0,0,2,2
2020-12-18 13:25:49,0,0,0,4
2020-12-18 13:27:50,0,0,0,4
2020-12-18 13:29:53,0,0,0,8
2020-12-18 13:31:29,0,0,0,7
2020-12-18 13:33:02,0,0,0,9
2020-12-18 13:36:03,0,0,0,3
